date,cp_sa,gdp_sa,cp,gdp,ipi,ipi_sa,conpi,conpi_sa,sbi,sbi_sa,pubpi,pubpi_sa,cpi,cpi_core,ur_sa,ur
1985년 1월,42683.10 ,66553.40 ,42258.90 ,60797.60 ,,,,,,,,,30.78 ,32.87 ,,
1985년 4월,43705.50 ,68156.60 ,42763.80 ,67581.30 ,,,,,,,,,31.06 ,33.17 ,,
1985년 7월,44810.90 ,68932.00 ,43786.40 ,70487.50 ,,,,,,,,,31.31 ,33.52 ,,
1985년 10월,45531.60 ,71033.50 ,47922.00 ,75809.00 ,,,,,,,,,31.47 ,33.61 ,,
1986년 1월,46475.90 ,72401.20 ,45987.10 ,66339.30 ,,,,,,,,,31.89 ,33.98 ,,
1986년 4월,47668.10 ,75222.80 ,46774.00 ,74470.30 ,,,,,,,,,32.07 ,34.43 ,,
1986년 7월,49008.90 ,78470.30 ,47897.10 ,80269.20 ,,,,,,,,,32.16 ,34.86 ,,
1986년 10월,50083.40 ,79694.30 ,52578.20 ,84709.80 ,,,,,,,,,31.93 ,34.83 ,,
1987년 1월,50622.80 ,82253.70 ,50179.70 ,76258.20 ,,,,,,,,,32.15 ,35.02 ,,
1987년 4월,52067.40 ,86327.90 ,51223.70 ,85822.00 ,,,,,,,,,32.85 ,35.60 ,,
1987년 7월,52862.40 ,87170.20 ,51593.90 ,88911.00 ,,,,,,,,,33.29 ,35.71 ,,
1987년 10월,54286.40 ,88944.40 ,56841.60 ,93704.90 ,,,,,,,,,33.67 ,35.95 ,,
1988년 1월,55198.10 ,95796.00 ,54892.30 ,88855.40 ,,,,,,,,,34.56 ,36.56 ,,
1988년 4월,56608.60 ,93726.10 ,55794.70 ,93021.90 ,,,,,,,,,35.22 ,37.60 ,,
1988년 7월,58165.30 ,96674.40 ,56683.00 ,98341.00 ,,,,,,,,,35.64 ,38.13 ,,
1988년 10월,59553.60 ,99820.80 ,62155.70 ,105799.20 ,,,,,,,,,35.96 ,38.66 ,,
1989년 1월,61264.00 ,99864.00 ,61185.30 ,93280.10 ,,,,,,,,,36.49 ,39.06 ,,
1989년 4월,62744.20 ,101322.60 ,61898.20 ,100298.30 ,,,,,,,,,37.19 ,39.84 ,,
1989년 7월,64326.60 ,103920.90 ,62571.00 ,105160.70 ,,,,,,,,,37.66 ,40.38 ,,
1989년 10월,66018.20 ,108212.60 ,68698.50 ,114580.90 ,,,,,,,,,38.10 ,40.80 ,,
1990년 1월,67730.30 ,109314.80 ,67957.80 ,102643.40 ,,,,,,,,,39.28 ,42.17 ,,
1990년 4월,69240.20 ,111753.20 ,68355.20 ,111261.30 ,,,,,,,,,40.45 ,43.34 ,,
1990년 7월,70678.90 ,115366.10 ,68610.80 ,116241.40 ,,,,,,,,,41.04 ,43.84 ,,
1990년 10월,72274.70 ,117711.80 ,75000.30 ,123999.90 ,,,,,,,,,41.49 ,44.23 ,,
1991년 1월,73458.20 ,122126.20 ,74121.90 ,114343.20 ,,,,,,,,,43.11 ,45.72 ,,
1991년 4월,75278.30 ,124155.30 ,74321.30 ,124393.30 ,,,,,,,,,44.03 ,46.61 ,,
1991년 7월,77555.10 ,126818.80 ,75117.20 ,127579.90 ,,,,,,,,,44.87 ,47.56 ,,
1991년 10월,78987.80 ,129993.80 ,81719.10 ,136777.60 ,,,,,,,,,45.40 ,48.09 ,,
1992년 1월,79845.00 ,132308.20 ,81089.00 ,124223.30 ,,,,,,,,,46.19 ,48.87 ,,
1992년 4월,81123.80 ,133236.60 ,80056.40 ,133976.80 ,,,,,,,,,47.11 ,49.87 ,,
1992년 7월,81954.20 ,133326.70 ,79178.80 ,133823.30 ,,,,,,,,,47.57 ,50.27 ,,
1992년 10월,83637.20 ,135407.50 ,86236.10 ,142255.70 ,,,,,,,,,47.55 ,50.61 ,,
1993년 1월,85330.50 ,138103.00 ,87239.90 ,130454.00 ,,,,,,,,,48.33 ,51.46 ,,
1993년 4월,86209.40 ,141645.80 ,84909.70 ,142664.30 ,,,,,,,,,49.32 ,52.45 ,,
1993년 7월,87817.10 ,144257.30 ,84716.10 ,144405.60 ,,,,,,,,,49.68 ,52.85 ,,
1993년 10월,89891.40 ,147017.90 ,92382.70 ,153500.10 ,,,,,,,,,50.14 ,53.16 ,,
1994년 1월,92581.30 ,151306.20 ,95058.10 ,143155.80 ,,,,,,,,,51.48 ,54.23 ,,
1994년 4월,94032.30 ,153774.90 ,92412.40 ,154928.20 ,,,,,,,,,52.20 ,55.12 ,,
1994년 7월,95998.10 ,156361.70 ,92553.70 ,156472.60 ,,,,,,,,,53.12 ,55.64 ,,
1994년 10월,98782.70 ,162507.40 ,101370.20 ,169393.60 ,,,,,,,,,53.05 ,55.66 ,,
